NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Study Type,URL
NCT04789460,Relationship Between Potential Predictors and Mortality in COVID-19 Patients ın Turkey,,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,816,Observational,https://ClinicalTrials.gov/show/NCT04789460
NCT04358939,Prone Position in Patients on High-flow Nasal Oxygen Therapy for COVID-19 (HIGH-PRONE-COVID-19),,Completed,No Results Available,Acute Respiratory Distress Syndrome|COVID-19,Other: Prone decubitus,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,405,Interventional,https://ClinicalTrials.gov/show/NCT04358939
NCT04438980,Glucocorticoids in COVID-19 (CORTIVID),CORTIVID,Completed,No Results Available,Covid-19 Pneumonia,Drug: Methylprednisolone|Other: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 3,72,Interventional,https://ClinicalTrials.gov/show/NCT04438980
NCT04412226,Effect of Using Barrier Devices for Intubation in COVID-19 Patients,,Completed,No Results Available,"Intubation, Intratracheal|COVID-19",Device: aerosol box|Device: transparent sheet,All,"Child, Adult, Older Adult",,13,Observational,https://ClinicalTrials.gov/show/NCT04412226
NCT04707742,Antiseptic Mouth Rinses to Reduce Salivary Viral Load in COVID-19 Patients,BUCOSARS,Completed,No Results Available,Covid19,Drug: Betadine© bucal 100 mg/ml|Drug: Oximen® 3%|Drug: Clorhexidine Dental PHB©|Drug: Vitis Xtra Forte©|Drug: Distilled Water,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,84,Interventional,https://ClinicalTrials.gov/show/NCT04707742
NCT04397523,Efficacy and Safety of COVID-19 Convalescent Plasma,,Completed,No Results Available,Convalescent Plasma|COVID-19|SARS-CoV 2,Biological: anti-SARS-CoV-2 convalescent plasma,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,200,Interventional,https://ClinicalTrials.gov/show/NCT04397523
NCT04758286,Anesthetic & Surgical Protocol for Emergency Surgeries During the Era of COVID-19,,Completed,No Results Available,COVID-19,Procedure: Emergency surgical procedures,All,"Child, Adult, Older Adult",Not Applicable,209,Interventional,https://ClinicalTrials.gov/show/NCT04758286
NCT04838093,COVID-19 Testing in Patients With Vascular Disorders,,Completed,No Results Available,Covid19,Diagnostic Test: PCR,All,"Child, Adult, Older Adult",,2243,Observational,https://ClinicalTrials.gov/show/NCT04838093
NCT04427358,RT-PCR SARS-CoV-2 at 1 Month of COVID-19 Infection in the Geriatric Population,COVID-19GAOM,Completed,No Results Available,Covid-19,,All,70 Years and older   (Older Adult),,100,Observational,https://ClinicalTrials.gov/show/NCT04427358
NCT04357808,Efficacy of Subcutaneous Sarilumab in Hospitalised Patients With Moderate-severe COVID-19 Infection (SARCOVID),SARCOVID,Completed,No Results Available,Covid-19,Drug: Sarilumab|Other: Standar of care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30,Interventional,https://ClinicalTrials.gov/show/NCT04357808
NCT04373161,Home Pulse Oximeter Use in Patients With COVID-19,,Completed,No Results Available,Sars-CoV2|COVID-19|COVID,Device: Home Pulse Oximetry Monitoring,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,209,Interventional,https://ClinicalTrials.gov/show/NCT04373161
NCT04829552,Prophylactic Versus Therapeutic Dose Anticoagulation In COVID-19 Infection at the Time of Admission To Critical Care Units,,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,704,Observational,https://ClinicalTrials.gov/show/NCT04829552
NCT04809480,COVID-19 and Acute Invasive Fungal Rhinosinusitis,,Completed,No Results Available,Covid19,Diagnostic Test: Fungal rhinosinusitis,All,"15 Years to 90 Years   (Child, Adult, Older Adult)",,56,Observational,https://ClinicalTrials.gov/show/NCT04809480
NCT04894409,Evaluation of Silver Nanoparticles for the Prevention of COVID-19,COVID-19,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),Device: Mouthwash and nose rinse with the AgNPs solution|Device: Mouthwashes and nose rinse in a conventional way,All,"20 Years to 73 Years   (Adult, Older Adult)",Not Applicable,231,Interventional,https://ClinicalTrials.gov/show/NCT04894409
NCT04359212,Increased Risk of VTE and Higher Hypercoagulability in Patients Recovered in ICU and in Medical Ward for COVID-19,VTE-COVID,Completed,No Results Available,"COVID-19 Disease|Thromboembolism, Venous",Drug: thromboprophylaxis with low-molecular-weight heparin or fondaparinux,All,"18 Years and older   (Adult, Older Adult)",,90,Observational,https://ClinicalTrials.gov/show/NCT04359212
NCT04349592,Hydroxychloroquine With or Without Azithromycin for Virologic Cure of COVID-19,,Completed,No Results Available,Covid19,Drug: Hydroxychloroquine|Drug: Azithromycin|Other: Placebo Tablet|Other: Placebo capsules,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,456,Interventional,https://ClinicalTrials.gov/show/NCT04349592
NCT04355715,Combination of Chest Scanography and Nasal Viral Detection Test to Detect COVID-19 Positive Patients Before Surgical Intervention in a University Hospital During Coronavirus Pandemia,COVID-Scan,Completed,No Results Available,COVID 19|SARS-Cov-2,,All,"18 Years to 99 Years   (Adult, Older Adult)",,200,Observational,https://ClinicalTrials.gov/show/NCT04355715
NCT04558385,Seroconversion in COVID-19 Recovered Population,,Completed,No Results Available,Covid19,Diagnostic Test: IgG SARS CoV2,All,"Child, Adult, Older Adult",,275,Observational,https://ClinicalTrials.gov/show/NCT04558385
NCT04422574,COVID 19 Serology in Pulmonologists,Pneumoserocov,Completed,No Results Available,Covid 19,,All,"18 Years and older   (Adult, Older Adult)",,97,Observational,https://ClinicalTrials.gov/show/NCT04422574
NCT04654416,Clinical Outcome of Patients With COVID-19 Pneumonia Treated With Corticosteroids and Colchicine,,Completed,No Results Available,Covid-19,Drug: Corticosteroid with or without colchicine,All,"18 Years and older   (Adult, Older Adult)",,301,Observational,https://ClinicalTrials.gov/show/NCT04654416
NCT04410939,COVID-19 PCR Test Results in Asymptomatic Pregnants,,Completed,No Results Available,COVID-19|Asymptomatic Pregnant,Diagnostic Test: Reverse transcription polymerase chain reaction,Female,"Child, Adult, Older Adult",,179,Observational,https://ClinicalTrials.gov/show/NCT04410939
NCT04288102,Treatment With Human Umbilical Cord-derived Mesenchymal Stem Cells for Severe Corona Virus Disease 2019 (COVID-19),,Completed,No Results Available,Corona Virus Disease 2019(COVID-19),Biological: UC-MSCs|Biological: Saline containing 1% Human serum albumin（solution without UC-MSCs）,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,100,Interventional,https://ClinicalTrials.gov/show/NCT04288102
NCT04343339,Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment,EPILOGUE,Completed,No Results Available,"Addiction, Substance|COVID-19",,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04343339
NCT04470258,Elmo Respiratory Support Project - COVID-19,,Completed,No Results Available,COVID-19|Respiratory Failure With Hypoxia,Other: ELMO PROJECT AT COVID-19: STUDY IN HUMANS|Device: ELMO PROJECT AT COVID-19: PROOF OF CONCEPT AND USABILITY,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,10,Interventional,https://ClinicalTrials.gov/show/NCT04470258
NCT04437121,Dietary and Lifestyle Habits During the Pandemic of COVID-19 in Greece,COV-EAT,Completed,No Results Available,Eating Behavior|COVID-19,Other: Online Survey about Dietary and Lifestyle Habits,All,"24 Months to 18 Years   (Child, Adult)",,397,Observational,https://ClinicalTrials.gov/show/NCT04437121
NCT04649333,COVID-19 and Sports - an Online Survey on the Impact of the Pandemic and Possible Preventive Measures,,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,1336,Observational,https://ClinicalTrials.gov/show/NCT04649333
NCT04684433,Surgery in the Time of COVID-19 Pandemic,,Completed,No Results Available,Covid19,Other: Data extraction from medical files,All,"Child, Adult, Older Adult",,707,Observational,https://ClinicalTrials.gov/show/NCT04684433
NCT04358081,Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,,Completed,Has Results,Covid-19,Drug: HCQ|Drug: HCQ+AZT|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,20,Interventional,https://ClinicalTrials.gov/show/NCT04358081
NCT04799873,Alpha-1-Antitrypsin-Deficiency in COVID-19,CORSAAR-AAT,Completed,No Results Available,Covid19,Drug: AAT( Alpha 1 Antitrypsin),All,"18 Years to 110 Years   (Adult, Older Adult)",,10,Observational,https://ClinicalTrials.gov/show/NCT04799873
NCT04460703,"COVID-19 Vaccine Messaging, Part 1",,Completed,No Results Available,Vaccination|COVID-19,Other: Control message|Other: Baseline message|Other: Personal freedom message|Other: Economic freedom message|Other: Self-interest message|Other: Community interest message|Other: Economic benefit message|Other: Guilt message|Other: Embarrassment message|Other: Anger message|Other: Trust in science message|Other: Not bravery message,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,4000,Interventional,https://ClinicalTrials.gov/show/NCT04460703
NCT04386694,Photobiomodulation Therapy Combined With Static Magnetic Field in Patients With COVID-19,,Completed,No Results Available,COVID-19|Respiratory Failure,Device: Active PBMT/sMF|Device: Placebo PBMT/sMF,All,"15 Years and older   (Child, Adult, Older Adult)",Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04386694
NCT04460274,Forecast Number of Covid-19 Cases Worldwide,Covid19TmeSer,Completed,No Results Available,Covid-19,Other: Model Building|Other: Model validation,All,"Child, Adult, Older Adult",,7882471,Observational,https://ClinicalTrials.gov/show/NCT04460274
NCT04859881,Risk Factors for Barotrauma in COVID-19,,Completed,No Results Available,Barotrauma|Covid19,Other: No intervention,All,"18 Years to 90 Years   (Adult, Older Adult)",,262,Observational,https://ClinicalTrials.gov/show/NCT04859881
NCT04390074,COVID-19 in the Swedish ICU-cohort: Risk Factors of Critical Care Admission and Intensive Care Mortality,,Completed,No Results Available,COVID-19|Critical Illness,Other: COVID-19 and Intensive Care,All,"18 Years and older   (Adult, Older Adult)",,9905,Observational,https://ClinicalTrials.gov/show/NCT04390074
NCT04473248,Spartan COVID-19 System: Evaluation of Clinical Sample Collection,,Completed,No Results Available,Covid19,Device: Spartan COVID-19 System,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,27,Interventional,https://ClinicalTrials.gov/show/NCT04473248
NCT04853901,Remdesivir Efficacy In Management Of COVID-19 Patients,,Completed,No Results Available,Covid19,Drug: Remdesivir|Drug: Standard of care_1|Drug: Standard of care_2,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 3,77,Interventional,https://ClinicalTrials.gov/show/NCT04853901
NCT04355767,Convalescent Plasma in Outpatients With COVID-19,C3PO,Completed,No Results Available,Covid19,Biological: Convalescent Plasma|Biological: Saline,All,"18 Years and older   (Adult, Older Adult)",Phase 3,511,Interventional,https://ClinicalTrials.gov/show/NCT04355767
NCT04817332,STOP-COVID19: Superiority Trial Of Protease Inhibition in COVID-19,STOP-COVID19,Completed,No Results Available,Covid19,Drug: Brensocatib|Drug: Placebo,All,"16 Years and older   (Child, Adult, Older Adult)",Phase 3,400,Interventional,https://ClinicalTrials.gov/show/NCT04817332
NCT04553055,Antibiotic Misuse During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Other: online questionnaires,All,"20 Years and older   (Adult, Older Adult)",,413,Observational,https://ClinicalTrials.gov/show/NCT04553055
NCT04547660,Convalescent Plasma for Severe COVID-19 Patients,PLACOVID,Completed,No Results Available,Covid19,Biological: Convalescent Plasma|Other: Best Supportive Care,All,"18 Years and older   (Adult, Older Adult)",Phase 3,160,Interventional,https://ClinicalTrials.gov/show/NCT04547660
NCT04582331,Improving Real-time COVID-19 Monitoring Through Smartphone Voice Analysis,,Completed,No Results Available,Covid19,Other: Smartphone-based voice and self-reported symptom collection,All,"12 Years and older   (Child, Adult, Older Adult)",,500,Observational,https://ClinicalTrials.gov/show/NCT04582331
NCT04386564,Kidney Injury Severity and COVID-19,,Completed,No Results Available,COVID-19|Kidney Injury,Diagnostic Test: mRNA in urine test,All,"18 Years and older   (Adult, Older Adult)",,340,Observational,https://ClinicalTrials.gov/show/NCT04386564
NCT04483830,Suloexide in the Treatment of Early Stages of COVID-19,SulES-COVID,Completed,No Results Available,Covid19,Drug: Sulodexide|Drug: Placebo,All,"40 Years to 80 Years   (Adult, Older Adult)",Phase 3,243,Interventional,https://ClinicalTrials.gov/show/NCT04483830
NCT04840966,A Simplified Test to Assess Flavor in COVID-19 Patients,,Completed,No Results Available,Covid19,Diagnostic Test: Flavor test|Other: Self-assesment questionnaire,All,"18 Years and older   (Adult, Older Adult)",,111,Observational,https://ClinicalTrials.gov/show/NCT04840966
NCT04650035,The Impact of COVID-19 on Surgical Practice in Jordan During the Second Outbreak,,Completed,No Results Available,Covid19,,All,"Child, Adult, Older Adult",,60,Observational,https://ClinicalTrials.gov/show/NCT04650035
NCT04599959,COVID-19 Tests: Nasopharyngeal Swab vs Saliva Collected With Salivette® Cortisol for Viral RNA Sampling for RT-qPCR,,Completed,No Results Available,Covid-19,Diagnostic Test: Sampling of SARS-CoV-2 RNA from nasopharyngeal swab specimen or saliva collected via Salivette Cortisol,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,144,Interventional,https://ClinicalTrials.gov/show/NCT04599959
NCT04523831,Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection,,Completed,Has Results,Covid19,Drug: Ivermectin and Doxycycline|Drug: Standard of care,All,"18 Years and older   (Adult, Older Adult)",Phase 3,400,Interventional,https://ClinicalTrials.gov/show/NCT04523831
NCT04827160,Prediction of Thrombosis Using D-dimer Trends in COVID-19,TRENDS,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,280,Observational,https://ClinicalTrials.gov/show/NCT04827160
NCT04631861,Physical Activity and the Risk of COVID-19 Infection and Mortality,,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,132069,Observational,https://ClinicalTrials.gov/show/NCT04631861
NCT04670003,Spread Analysis of COVID-19 Outbreak in France by Self-assessment Web-application,SourceCOVID,Completed,No Results Available,Covid19,Other: users,All,"18 Years and older   (Adult, Older Adult)",,4975,Observational,https://ClinicalTrials.gov/show/NCT04670003
NCT04358926,Hyperbaric Oxygen Therapy Effect in COVID-19 RCT (HBOTCOVID19),HBOTCOVID19,Completed,No Results Available,COVID-19|Desaturation of Blood,Device: Hyperbaric oxygen therapy,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04358926
NCT04832828,Sensitivity and Specificity of the Roth Test in Patients With COVID-19 Positive,,Completed,No Results Available,Covid19,Diagnostic Test: Roth´s Test,All,"12 Years to 99 Years   (Child, Adult, Older Adult)",,114,Observational,https://ClinicalTrials.gov/show/NCT04832828
NCT04793243,Vitamin D3 Levels in COVID-19 Outpatients From Western Mexico,,Completed,No Results Available,Covid19,Dietary Supplement: Vitamin D3,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,42,Interventional,https://ClinicalTrials.gov/show/NCT04793243
NCT04709744,Impact of Vitamin D Level and Supplement on SLE Patients During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Drug: Vitamin D|Diagnostic Test: ELISA,All,"18 Years to 80 Years   (Adult, Older Adult)",,38,Observational,https://ClinicalTrials.gov/show/NCT04709744
NCT04529447,Response of Korean Medicine Hospital to COVID-19,,Completed,No Results Available,Covid19,Other: Survey,All,"Child, Adult, Older Adult",,485,Observational,https://ClinicalTrials.gov/show/NCT04529447
NCT04584450,Investigation of Validity and Reliability of Post-COVID-19 Functional Status Scale,,Completed,No Results Available,Covid19,Other: Questionnaire,All,"18 Years and older   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04584450
NCT04419571,Outcomes in Emergency Laparotomies During COVID-19 Pandemic,,Completed,No Results Available,COVID-19|Emergency General Surgery,Procedure: Emergency Laparotomy,All,"18 Years and older   (Adult, Older Adult)",,94,Observational,https://ClinicalTrials.gov/show/NCT04419571
NCT04480060,Experience of an Emergency Intensive Care Unit During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Diagnostic Test: COVID-19 diagnostic PCR,All,18 Years to 50 Years   (Adult),,100000,Observational,https://ClinicalTrials.gov/show/NCT04480060
NCT04387643,Protecting Health Care Workers During the COVID-19 Outbreak,,Completed,No Results Available,Covid-19,Dietary Supplement: Ayurvedic Kadha,All,18 Years to 60 Years   (Adult),,52,Observational,https://ClinicalTrials.gov/show/NCT04387643
NCT04568525,Passive Microwave Radiometry (MWR) and AI for COVID-19 Complications Early Diagnostics of Lungs,,Completed,No Results Available,Covid19,Diagnostic Test: Passive Microwave Radiometry,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,195,Interventional,https://ClinicalTrials.gov/show/NCT04568525
NCT04666753,Retrospective Study of ImmunoFormulation for COVID-19,,Completed,No Results Available,Covid19,Dietary Supplement: ImmunoFormulation,All,"18 Years and older   (Adult, Older Adult)",,40,Observational,https://ClinicalTrials.gov/show/NCT04666753
NCT04400058,Octagam 10% Therapy in COVID-19 Patients With Severe Disease Progression,,Completed,No Results Available,Covid-19,Biological: Octagam 10%|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,208,Interventional,https://ClinicalTrials.gov/show/NCT04400058
NCT04446104,A Preventive Treatment for Migrant Workers at High-risk of COVID-19,,Completed,No Results Available,Covid-19,Drug: Hydroxychloroquine Sulfate Tablets|Drug: Ivermectin 3mg Tab|Drug: Zinc|Drug: Povidone-Iodine|Dietary Supplement: Vitamin C,Male,21 Years to 60 Years   (Adult),Phase 3,4257,Interventional,https://ClinicalTrials.gov/show/NCT04446104
NCT04450277,Delivery of Protocolised Emergency Surgical Care During COVID-19 Pandemic,,Completed,No Results Available,COVID-19|Emergency Surgery,Procedure: Emergency surgery,All,"18 Years and older   (Adult, Older Adult)",,15,Observational,https://ClinicalTrials.gov/show/NCT04450277
NCT04343092,Effectiveness of Ivermectin as add-on Therapy in COVID-19 Management,,Completed,Has Results,COVID 19,Drug: Ivermectin (IVM),All,"18 Years and older   (Adult, Older Adult)",Phase 1,16,Interventional,https://ClinicalTrials.gov/show/NCT04343092
NCT04387786,Dornase Alfa Administered to Patients With COVID-19 (DACOVID),DACOVID,Completed,No Results Available,COVID-19|Mechanical Ventilation,Drug: Dornase Alfa,All,"18 Years to 85 Years   (Adult, Older Adult)",,5,Observational,https://ClinicalTrials.gov/show/NCT04387786
NCT04734223,Neuroimaging Findings in Patients With COVID-19,,Completed,No Results Available,Neuroimaging|COVID-19,Diagnostic Test: Neuroimaging Findings in Patients With COVID-19,All,"18 Years and older   (Adult, Older Adult)",,436,Observational,https://ClinicalTrials.gov/show/NCT04734223
NCT04713852,Predictive Value of SOFA and APACHE Scores for In-hospital Mortality in COVID-19 ICU Patients,,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,116,Observational,https://ClinicalTrials.gov/show/NCT04713852
NCT04674553,Effect of Obesity Among COVID-19 Patients in Critical Care Settings,,Completed,No Results Available,Obesity|Covid19,,All,"18 Years to 80 Years   (Adult, Older Adult)",,100,Observational,https://ClinicalTrials.gov/show/NCT04674553
NCT04317040,CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment,SAC-COVID,Completed,No Results Available,Covid19,Drug: CD24Fc|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,243,Interventional,https://ClinicalTrials.gov/show/NCT04317040
NCT04334252,Descriptive Study Regarding Ambulant Screening During COVID-19 Pandemia,,Completed,No Results Available,COVID 19,Other: Questionnaire,All,"18 Years and older   (Adult, Older Adult)",,528,Observational,https://ClinicalTrials.gov/show/NCT04334252
NCT04714515,Montelukast - a Treatment Choice for COVID-19,,Completed,No Results Available,Covid19|SARS-CoV-2 Infection,Drug: Montelukast|Drug: Hydroxychloroquine|Drug: Ivermectin,All,"20 Years to 80 Years   (Adult, Older Adult)",,150,Observational,https://ClinicalTrials.gov/show/NCT04714515
NCT04605952,Study to Find the Percentage of Cases Retaining COVID-19 IgG Antibodies 45-65 After They Have Tested Positive,,Completed,No Results Available,Covid19,Diagnostic Test: Repeat SARS-CoV-2 IgG antibodies at 45-65 days,All,18 Years to 60 Years   (Adult),,201,Observational,https://ClinicalTrials.gov/show/NCT04605952
NCT04542876,Efficacy and Safety of Guduchi Ghan Vati in the Management of Asymptomatic COVID-19 Infection,,Completed,No Results Available,Covid19,Drug: Guduchi Ghan Vati,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,46,Interventional,https://ClinicalTrials.gov/show/NCT04542876
NCT04327531,"Evaluation of Covid 19 Knowledge Anxiety and Expectation Levels of Turkish Physicians, Survey Study",,Completed,No Results Available,COVID-19|Physician-Patient Relations,Behavioral: turkish physicians,All,25 Years to 55 Years   (Adult),,200,Observational,https://ClinicalTrials.gov/show/NCT04327531
NCT04506268,COVID-19 SAFE Enrollment,COVID SAFE,Completed,No Results Available,Covid19,Behavioral: Opt-out Recruitment Email|Behavioral: Opt-in Recruitment Email,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,412,Interventional,https://ClinicalTrials.gov/show/NCT04506268
NCT04350320,Trial to Study the Benefit of Colchicine in Patients With COVID-19,COL-COVID,Completed,No Results Available,COVID19,Drug: Colchicine Tablets|Drug: Standard therapy for COVID-19 according to the stablished hospital protocols.,All,"18 Years and older   (Adult, Older Adult)",Phase 3,102,Interventional,https://ClinicalTrials.gov/show/NCT04350320
NCT04716647,Feasibility of Ayurveda in Patients With Mild-to-Moderate COVID-19: A Community-Based Participatory Research,,Completed,No Results Available,Covid19,Other: Ayurveda,All,"20 Years to 70 Years   (Adult, Older Adult)",Not Applicable,28,Interventional,https://ClinicalTrials.gov/show/NCT04716647
NCT04368221,Characterization of Fungal Infections in COVID-19 Infected and Mechanically Ventilated Patients in ICU,MY-CO-VID,Completed,No Results Available,Covid-19,,All,"18 Years and older   (Adult, Older Adult)",,576,Observational,https://ClinicalTrials.gov/show/NCT04368221
NCT04621903,A Pilot Study on Efficacy and Safety of Ayurveda Combination in Patients With Mild-to-Moderate COVID-19,,Completed,No Results Available,Covid19,Other: Shanshamani Vati Plus,All,"20 Years to 70 Years   (Adult, Older Adult)",Not Applicable,26,Interventional,https://ClinicalTrials.gov/show/NCT04621903
NCT04409509,Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19),,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),"Biological: Garadacimab, Factor XIIa Antagonist Monoclonal Antibody|Drug: Placebo",All,"18 Years and older   (Adult, Older Adult)",Phase 2,124,Interventional,https://ClinicalTrials.gov/show/NCT04409509
NCT04503434,Patients' Experiences in a Medicalized Hotel for COVID-19 Acute Care Support,,Completed,No Results Available,Patient Preference|COVID-19,,All,"Child, Adult, Older Adult",,517,Observational,https://ClinicalTrials.gov/show/NCT04503434
NCT04560855,Secure Self-monitoring Through a Combination of Connected Objects: Implementation in COVID-19 Patients Monitored at Home,SECURADOM,Completed,No Results Available,Covid19,Device: Connected devices measurements,All,"18 Years and older   (Adult, Older Adult)",,10,Observational,https://ClinicalTrials.gov/show/NCT04560855
NCT04373759,Cardiac Arrest Incidence and Outcome Among Patients With COVID-19 in French ICUs,ACICOVID,Completed,No Results Available,Sars-CoV2|Covid-19,Other: Cardiopulmonary resuscitation|Other: Modified Rankin score,All,"18 Years and older   (Adult, Older Adult)",,186,Observational,https://ClinicalTrials.gov/show/NCT04373759
NCT04352491,An Online Survey to Understand Feelings Related to COVID-19 Among ILBS Patients With Liver Disease,,Completed,No Results Available,COVID 19,Other: No intervention,All,"18 Years to 75 Years   (Adult, Older Adult)",,347,Observational,https://ClinicalTrials.gov/show/NCT04352491
NCT04462393,Characteristics and Outcomes of Patients Admitted to Swedish Intensive Care Units for COVID-19,,Completed,No Results Available,COVID-19|Critical Illness,Other: Admission to ICU for COVID-19,All,"18 Years and older   (Adult, Older Adult)",,1563,Observational,https://ClinicalTrials.gov/show/NCT04462393
NCT04704388,Study Project Comparing the Sequelae of COVID-19 Infection in Patients Who Have and Have Not Received Ventilatory Support in Critical Care,COMEBAC,Completed,No Results Available,Covid19,,All,"18 Years and older   (Adult, Older Adult)",,478,Observational,https://ClinicalTrials.gov/show/NCT04704388
NCT04563689,Pilot Study to Evaluate Effect of CHX0.12/CPC 0.05 of SARS-CoV-2 Viral Load in COVID-19 Patients,,Completed,No Results Available,Covid19,Other: CHX0.12+CPC0.05 oral rinse (PerioAidActive Control)|Other: placebo rinse,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,23,Interventional,https://ClinicalTrials.gov/show/NCT04563689
NCT04581291,The Effect of Aerobic Exercise on Immune Biomarkers and Symptoms Severity and Progression in Patients With COVID-19: A Pilot Randomized Control Trial,,Completed,No Results Available,Covid19,Other: Moderate Intensity Aerobic Exercises,All,24 Years to 45 Years   (Adult),Not Applicable,30,Interventional,https://ClinicalTrials.gov/show/NCT04581291
NCT04403932,Increased Risk of Severe Coronavirus Disease 2019 in Patients With Vitamin D Deficiency,COVIT-D,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),,All,"18 Years and older   (Adult, Older Adult)",,300,Observational,https://ClinicalTrials.gov/show/NCT04403932
NCT04475120,Efficacy and Safety of Liposomal Lactoferrin in COVID-19 Patients With Mild-to-Moderate Disease and in COVID-19 Asymptomatic Patients,,Completed,No Results Available,Covid19,Drug: liposomal lactoferrin|Drug: SOC therapy,All,"20 Years and older   (Adult, Older Adult)",Phase 3,92,Interventional,https://ClinicalTrials.gov/show/NCT04475120
NCT04551781,Short Term Low Dose Corticosteroids for Management of Post covid19 Pulmonary Fibrosis,,Completed,No Results Available,Covid19,Drug: 20 Mg Prednisone for 14 days|Drug: control,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,450,Interventional,https://ClinicalTrials.gov/show/NCT04551781
NCT04900129,"Inhalation of Vapor With Medication (Diclofenac Sodium, Menthol, Methyl Salicylate and N-Acetyl Cysteine) Reduces Oxygen Need and Hospital Stay in COVID-19 Patients - A Case Control Study",,Completed,No Results Available,Covid19,"Combination Product: Menthol 0.02%, Methyl salicylate 0.05%, N- Acetyl cysteine 1.2 gm%, and Diclofenac sodium 1gm%",All,"20 Years and older   (Adult, Older Adult)",Phase 1,43,Interventional,https://ClinicalTrials.gov/show/NCT04900129
NCT04662671,"Phase I/II Randomized, Dose Escalation Study to Evaluate the Safety and Antiviral Activity of the RD-X19 Device in SARS-CoV-2 Infected Individuals With Uncomplicated COVID-19",,Completed,No Results Available,COVID19,Device: RD-X19,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,31,Interventional,https://ClinicalTrials.gov/show/NCT04662671
NCT04551898,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Neutralizing Antibody BGB-DXP593 in Participants With Mild-to-Moderate Coronavirus Disease 2019 (COVID-19),,Completed,No Results Available,Covid19,Drug: BGB-DXP593|Drug: Placebo,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,181,Interventional,https://ClinicalTrials.gov/show/NCT04551898
NCT04275245,Clinical Study of Anti-CD147 Humanized Meplazumab for Injection to Treat With 2019-nCoV Pneumonia,,Completed,No Results Available,Coronavirus Disease 2019 (COVID-19),Drug: Meplazumab for Injection,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,17,Interventional,https://ClinicalTrials.gov/show/NCT04275245
NCT04380714,Changes in the Consumption of Psychoactive Substances During Containment Linked to COVID-19,,Completed,No Results Available,People Incarcerated|COVID-19,,All,"18 Years and older   (Adult, Older Adult)",,700,Observational,https://ClinicalTrials.gov/show/NCT04380714
