Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
246,NCT04558385,Seroconversion in COVID-19 Recovered Population,,Completed,No Results Available,Covid19,Diagnostic Test: IgG SARS CoV2,IgG SARS CoV2,Lahore General Hospital,All,"Child, Adult, Older Adult",,275,Other,Observational,Observational Model: Case-Only|Time Perspective: Retrospective,LGH006,31-Mar-21,1-Jul-20,273,31-Mar-21,22-Sep-20,,1-Apr-21,"Lahore General Hospital, Lahore, Punjab, Pakistan",,https://ClinicalTrials.gov/show/NCT04558385
247,NCT04422574,COVID 19 Serology in Pulmonologists,Pneumoserocov,Completed,No Results Available,Covid 19,,covid 19 serology|risk factors for positive serology testing,"University Hospital, Montpellier",All,"18 Years and older Â  (Adult, Older Adult)",,97,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,RECHMPL20_0343,30-May-20,1-May-20,29,1-May-20,9-Jun-20,,9-Jun-20,"Uh Montpellier, Montpellier, France",,https://ClinicalTrials.gov/show/NCT04422574
248,NCT04654416,Clinical Outcome of Patients With COVID-19 Pneumonia Treated With Corticosteroids and Colchicine,,Completed,No Results Available,Covid-19,Drug: Corticosteroid with or without colchicine,Outcome,ClÃ­nica MedellÃ­n - Grupo QuirÃ³nsalud,All,"18 Years and older Â  (Adult, Older Adult)",,301,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Cross-Sectional,20-Apr,20-Aug-20,20-Mar-20,153,7-Aug-20,4-Dec-20,,4-Dec-20,"ClÃ­nica MedellÃ­n - Grupo QuirÃ³nsalud, MedellÃ­n, Antioquia, Colombia",,https://ClinicalTrials.gov/show/NCT04654416
249,NCT04410939,COVID-19 PCR Test Results in Asymptomatic Pregnants,,Completed,No Results Available,COVID-19|Asymptomatic Pregnant,Diagnostic Test: Reverse transcription polymerase chain reaction,Rate of positive COVID-19 cases in asymptomatic pregnant women,Istanbul Medipol University Hospital,Female,"Child, Adult, Older Adult",,179,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Retrospective,Gpolat1,21-May-20,10-Apr-20,41,20-May-20,1-Jun-20,,1-Jun-20,"Istanbul Medipol University, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04410939
250,NCT04288102,Treatment With Human Umbilical Cord-derived Mesenchymal Stem Cells for Severe Corona Virus Disease 2019 (COVID-19),,Completed,No Results Available,Corona Virus Disease 2019(COVID-19),Biological: UC-MSCs|Biological: Saline containing 1% Human serum albuminï¼ˆsolution without UC-MSCsï¼‰,"Change in lesion proportion (%) of full lung volume from baseline to day 28.|Change in lesion proportion (%) of full lung volume from baseline to day 10 and 90|Change in consolidation lesion proportion (%) of full lung volume from baseline to day 10, 28 and 90.|Change in ground-glass lesion proportion (%) of full lung volume from baseline to day 10, 28 and 90.|Pulmonary fibrosis - related morphological features in CT scan at day 90 a. cord-like shadow b. honeycomb-like shadows c. interlobular septal thickening d. intralobular interstitial thickening e. pleural thickening|Lung densitometry: Change in total voxel 'weight' in lesion area voxel 'weight'=voxel density (in HU) Ã— voxel volume (in voxel)|Lung densitometry: volumes histogram of lung density distribution (<-750, -750~-300, -300~50, >50) at day 10, 28 and 90.|Time to clinical improvement in 28 days.|Oxygenation index( PaO2/FiO2)|Duration of oxygen therapy(days)|Blood oxygen saturation|6-minute walk test|Maximum vital capacity (VCmax)|Diffusing Capacity (DLCO)|mMRC (Modified Medical Research Council) dyspnea scale|Changes of absolute lymphocyte counts and subsets from baseline to day 6, 10, 28 and 90.|Changes of cytokine/chemokine levels from baseline to day 6, 10, 28 and 90.|Adverse events|Serious adverse events|All-cause mortality","Beijing 302 Hospital|Huoshenshan Hospital|Maternal and Child Health Hospital of Hubei Province|The General Hospital of Central Theater Command|VCANBIO CELL & GENE ENGINEERING CORP.,LTD, China",All,"18 Years to 75 Years Â  (Adult, Older Adult)",Phase 2,100,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2020-013-D,9-Jul-20,5-Mar-20,126,12-May-20,28-Feb-20,,19-Aug-20,"General Hospital of Central Theater Command, Wuhan, Hubei, China|Maternal and Child Hospital of Hubei Province, Wuhan, Hubei, China|Wuhan Huoshenshan Hospital, Wuhan, Hubei, China",,https://ClinicalTrials.gov/show/NCT04288102
251,NCT04343339,Evolution of Psychoactive Substances Consumption in Connection With COVID-19 Containment,EPILOGUE,Completed,No Results Available,"Addiction, Substance|COVID-19",,Evolution of consumption|health care access,"University Hospital, Montpellier",All,"18 Years and older Â  (Adult, Older Adult)",,100,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,RECHMPL20_0195,30-Sep-20,8-Apr-20,175,30-Jul-20,13-Apr-20,,8-Oct-20,"Uhmontpellier, Montpellier, France",,https://ClinicalTrials.gov/show/NCT04343339
252,NCT04470258,Elmo Respiratory Support Project - COVID-19,,Completed,No Results Available,COVID-19|Respiratory Failure With Hypoxia,Other: ELMO PROJECT AT COVID-19: STUDY IN HUMANS|Device: ELMO PROJECT AT COVID-19: PROOF OF CONCEPT AND USABILITY,Usability tests of the Elmo system using Euristic usability principles|Evaluation of the effectiveness of the ELMO system using physiological parameters,Escola de SaÃºde PÃºblica do CearÃ¡,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,10,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Device Feasibility,4.104.233,30-Nov-20,25-Jun-20,158,30-Aug-20,14-Jul-20,,20-Apr-21,"Hospital Leonardo Da Vinci, Fortaleza, Brazil",,https://ClinicalTrials.gov/show/NCT04470258
253,NCT04437121,Dietary and Lifestyle Habits During the Pandemic of COVID-19 in Greece,COV-EAT,Completed,No Results Available,Eating Behavior|COVID-19,Other: Online Survey about Dietary and Lifestyle Habits,Change in weight (child)|Behaviour (child)|Behaviour (parents)|Physical Activity Levels (child)|Screen Time (child)|Sleep Duration (child),University of Thessaly,All,"24 Months to 18 Years Â  (Child, Adult)",,397,Other,Observational,Observational Model: Case-Crossover|Time Perspective: Cross-Sectional,COV-EAT,24-May-20,30-Apr-20,24,24-May-20,18-Jun-20,,18-Jun-20,"Department of Nutrition-Dietetics, TrÃ­kala, Thessaly, Greece","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT04437121/Prot_SAP_ICF_000.pdf",https://ClinicalTrials.gov/show/NCT04437121
254,NCT04649333,COVID-19 and Sports - an Online Survey on the Impact of the Pandemic and Possible Preventive Measures,,Completed,No Results Available,Covid19,,"The type, extent and intensity of physical activity",Medical University Innsbruck|Universitaet Innsbruck,All,"18 Years and older Â  (Adult, Older Adult)",,1336,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,20200609,31-Aug-20,15-Jun-20,77,31-Aug-20,2-Dec-20,,4-Dec-20,"Medical University Innsbruck, Innsbruck, Tyrol, Austria",,https://ClinicalTrials.gov/show/NCT04649333
255,NCT04684433,Surgery in the Time of COVID-19 Pandemic,,Completed,No Results Available,Covid19,Other: Data extraction from medical files,Surgery code|Urgency|Type of anesthesia|Delay between surgery and first symptoms|Surgery duration|Hospital stay (in days)|Intensive care unit stay (in days)|Post-op complications|Covid status before surgery|Covid status post-surgery|COVID19 Diagnosis by CT scan|COVID19 Diagnosis by swab test|COVID 19 Diagnosis by antibody test|COVID19 symptoms - dry cough|COVID19 symptoms - fever|COVID19 symptoms - myalgia|COVID19 symptoms - anosmia|COVID19 symptoms -respiratory distress|Treatment for COVID19 - Plaquenil|Treatment for COVID19 - Antivirals|Need for intubation|Death|Age|Gender|Ethnicity|BMI|Comorbidities,Brugmann University Hospital,All,"Child, Adult, Older Adult",,707,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,CHUB-Farid,15-Mar-21,14-Apr-20,335,15-Mar-21,24-Dec-20,,16-Mar-21,"St Pierre, Brussels, Belgium|CHU Brugmann, Brussels, Belgium|Erasme, Brussels, Belgium|UZ Brussel, Brussel, Belgium",,https://ClinicalTrials.gov/show/NCT04684433
256,NCT04358081,Hydroxychloroquine Monotherapy and in Combination With Azithromycin in Patients With Moderate and Severe COVID-19 Disease,,Completed,Has Results,Covid-19,Drug: HCQ|Drug: HCQ+AZT|Drug: Placebo,Number of Participants Who Achieved Clinical Response by Day 15|Number of Participants Who Achieved Viral Clearance|Number of Participants Discharged or Ready for Discharge|Time to Return to Pre-morbid Supplemental Oxygen Requirement in Participants Receiving Hydrochloroquine or Hydrochloroquine Plus Azithromycin Relative to Placebo,Novartis Pharmaceuticals|Novartis,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,20,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",CJWT629A12301,27-Jul-20,1-May-20,87,27-Jul-20,22-Apr-20,17-Mar-21,2-Apr-21,"Novartis Investigative Site, Fullerton, California, United States|Novartis Investigative Site, Los Angeles, California, United States|Novartis Investigative Site, Chicago, Illinois, United States|Novartis Investigative Site, Baton Rouge, Louisiana, United States|Novartis Investigative Site, Baltimore, Maryland, United States|Novartis Investigative Site, Chapel Hill, North Carolina, United States|Novartis Investigative Site, Seattle, Washington, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/81/NCT04358081/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/81/NCT04358081/SAP_001.pdf",https://ClinicalTrials.gov/show/NCT04358081
257,NCT04799873,Alpha-1-Antitrypsin-Deficiency in COVID-19,CORSAAR-AAT,Completed,No Results Available,Covid19,Drug: AAT( Alpha 1 Antitrypsin),Clinical course,UniversitÃ¤t des Saarlandes,All,"18 Years to 110 Years Â  (Adult, Older Adult)",,10,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,CORSAAR-AAT-001,1-Dec-20,8-Apr-20,237,1-Dec-20,16-Mar-21,,16-Mar-21,"Saarland University, Homburg, Saarland, Germany",,https://ClinicalTrials.gov/show/NCT04799873
258,NCT04460703,"COVID-19 Vaccine Messaging, Part 1",,Completed,No Results Available,Vaccination|COVID-19,Other: Control message|Other: Baseline message|Other: Personal freedom message|Other: Economic freedom message|Other: Self-interest message|Other: Community interest message|Other: Economic benefit message|Other: Guilt message|Other: Embarrassment message|Other: Anger message|Other: Trust in science message|Other: Not bravery message,Intention to get COVID-19 vaccine|Vaccine confidence scale|Persuade others item|Fear of those who have not been vaccinated|Social judgment of those who do not vaccinate,Yale University,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,4000,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,2000027983,8-Jul-20,3-Jul-20,5,8-Jul-20,7-Jul-20,,21-Jul-20,"Yale University, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT04460703
259,NCT04386694,Photobiomodulation Therapy Combined With Static Magnetic Field in Patients With COVID-19,,Completed,No Results Available,COVID-19|Respiratory Failure,Device: Active PBMT/sMF|Device: Placebo PBMT/sMF,Time until discharge|Survival rate|Diaphragm muscle function|Platelet count|Leukogram|Erythrogram|C-reactive protein|D-dimer|Immunoglobulin G|Immunoglobulin M|Levels of positive end-expiratory pressure (PEEP)|Fraction of inspired oxygen (FiO2)|Arterial partial pressure of oxygen (PO2)|Arterial partial pressure of oxygen (PO2)/Fraction of inspired oxygen (FiO2) ratio|Levels of tumor necrosis factor-Î± (TNF-Î±)|Levels of vitamin D,University of Nove de Julho|Hospital Tacchini/RS,All,"15 Years and older Â  (Child, Adult, Older Adult)",Not Applicable,30,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",3.985.226,17-Sep-20,18-May-20,122,17-Sep-20,13-May-20,,29-Oct-20,"Hospital Tacchini, Bento GonÃ§alves, RS, Brazil",,https://ClinicalTrials.gov/show/NCT04386694
260,NCT04460274,Forecast Number of Covid-19 Cases Worldwide,Covid19TmeSer,Completed,No Results Available,Covid-19,Other: Model Building|Other: Model validation,Number of Confirmed cases of Covid-19,Turkish Ministry of Health Izmir Teaching Hospital,All,"Child, Adult, Older Adult",,7882471,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,TurkishMOHITH-TimeSeries,20-Jun-20,31-Dec-19,172,15-Jun-20,7-Jul-20,,8-Jul-20,"Republic of Turkey, Health Sciences University, Izmir Bozyaka Education and Training Hospital, Ä°zmir, Turkey",,https://ClinicalTrials.gov/show/NCT04460274
261,NCT04859881,Risk Factors for Barotrauma in COVID-19,,Completed,No Results Available,Barotrauma|Covid19,Other: No intervention,Barotrauma development|Mortality,Hospital General Ajusco Medio|Horacio Marquez-Gonzalez|Carlos Torruco-Sotelo|Sebastian Rodriguez-Llamazares,All,"18 Years to 90 Years Â  (Adult, Older Adult)",,262,Other,Observational,Observational Model: Case-Control|Time Perspective: Retrospective,HGAM01,31-Jan-21,1-Apr-20,305,31-Jan-21,26-Apr-21,,26-Apr-21,"Hospital General Ajusco Medio, Mexico city, Mexico",,https://ClinicalTrials.gov/show/NCT04859881
262,NCT04390074,COVID-19 in the Swedish ICU-cohort: Risk Factors of Critical Care Admission and Intensive Care Mortality,,Completed,No Results Available,COVID-19|Critical Illness,Other: COVID-19 and Intensive Care,Chronic medications as risk factor of intensive care for COVID-19|Comorbidities as risk factor of intensive care for COVID-19|Chronic medications as risk factor of death during intensive care for COVID-19|Comorbidities as risk factor of death during intensive care for COVID-19,"Uppsala University|Center for Clinical Research Dalarna, Sweden",All,"18 Years and older Â  (Adult, Older Adult)",,9905,Other,Observational,Observational Model: Case-Control|Time Perspective: Other,UTN: U1111-1251-8195,4-Jun-20,27-May-20,8,4-Jun-20,15-May-20,,25-Aug-20,"BjÃ¶rn AhlstrÃ¶m, Falun, Sweden",,https://ClinicalTrials.gov/show/NCT04390074
263,NCT04473248,Spartan COVID-19 System: Evaluation of Clinical Sample Collection,,Completed,No Results Available,Covid19,Device: Spartan COVID-19 System,Asses the % agreement between predicate results and Spartan COVID-19 results.,Spartan Bioscience Inc.|Humber River Hospital|The Ottawa Hospital,All,"18 Years and older Â  (Adult, Older Adult)",Not Applicable,27,Industry|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Diagnostic,VNV-00552,30-Aug-20,28-Jun-20,63,30-Aug-20,16-Jul-20,,13-Nov-20,"Humber River Hospital, North York, Ontario, Canada|The Univeristy of Ottawa Heart Institute, Ottawa, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT04473248
264,NCT04853901,Remdesivir Efficacy In Management Of COVID-19 Patients,,Completed,No Results Available,Covid19,Drug: Remdesivir|Drug: Standard of care_1|Drug: Standard of care_2,Evaluation of viral clearance,Ain Shams University,All,"18 Years to 80 Years Â  (Adult, Older Adult)",Phase 3,77,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FMASU P56a/ 2020,1-Mar-21,27-Jul-20,217,1-Jan-21,22-Apr-21,,22-Apr-21,"Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",,https://ClinicalTrials.gov/show/NCT04853901
265,NCT04355767,Convalescent Plasma in Outpatients With COVID-19,C3PO,Completed,No Results Available,Covid19,Biological: Convalescent Plasma|Biological: Saline,Number of patients with disease progression|Worst severity rating on the WHO COVID Ordinal Scale for Clinical Improvement during the 30 days following randomization|Time to disease progression|Number of Hospital-free days during the 30 days following randomization|All-cause mortality,"Stanford University|National Heart, Lung, and Blood Institute (NHLBI)|Strategies to Innovate EmeRgENcy Care Clinical Trials Network (SIREN) - Network|University of Pittsburgh|Medical University of South Carolina",All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,511,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",C3PO|1OT2HL156812-01,29-Mar-21,11-Aug-20,230,29-Mar-21,21-Apr-20,,12-May-21,"Chandler Regional Medical Center, Chandler, Arizona, United States|Valleywise Health Medical Center, Phoenix, Arizona, United States|UCSD Health La Jolla, La Jolla, California, United States|Loma Linda University Medical Center, Loma Linda, California, United States|Ronald Reagan UCLA Medical Center, Los Angeles, California, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|UC Davis Medical Center, Sacramento, California, United States|Stanford University, Stanford, California, United States|Harbor-UCLA Medical Center, Torrance, California, United States|University of Colorado Hospital, Aurora, Colorado, United States|UF Health Shands Hospital, Gainesville, Florida, United States|Jackson Memorial Hospital, Miami, Florida, United States|Grady Memorial Hospital, Atlanta, Georgia, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Illinois Hospital, Chicago, Illinois, United States|University of Chicago Medical Center, Chicago, Illinois, United States|University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States|University of Louisville Hospital, Louisville, Kentucky, United States|Maine Medical Center, Portland, Maine, United States|Tufts Medical Center, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Newton-Wellesley Hospital, Newton, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|University of Michigan University Hospital, Ann Arbor, Michigan, United States|Detroit Receiving Hospital, Detroit, Michigan, United States|Harper University Hospital, Detroit, Michigan, United States|Henry Ford Hospital, Detroit, Michigan, United States|Sinai-Grace Hospital, Detroit, Michigan, United States|Spectrum Health Hospitals Butterworth Hospital, Grand Rapids, Michigan, United States|William Beaumont Hospital, Royal Oak, Michigan, United States|William Beaumont Hospital-Troy, Troy, Michigan, United States|HealthPartners Methodist Hospital, Saint Louis Park, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States|Barnes Jewish Hospital, Saint Louis, Missouri, United States|Cooper University Hospital, Camden, New Jersey, United States|Robert Wood Johnson University Hospital, New Brunswick, New Jersey, United States|University of New Mexico Hospital, Albuquerque, New Mexico, United States|SUNY Downstate Medical Center, Brooklyn, New York, United States|Duke University Hospital, Durham, North Carolina, United States|Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|OSU Wexner Medical Center, Columbus, Ohio, United States|Mercy St. Vincent Medical Center, Toledo, Ohio, United States|Oregon Health & Science University Hospital, Portland, Oregon, United States|Geisinger Medical Center, Danville, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Einstein Medical Center, Philadelphia, Pennsylvania, United States|UPMC Presbyterian Hospital, Pittsburgh, Pennsylvania, United States|William P. Clements Jr. University Hospital, Dallas, Texas, United States|Ben Taub General Hospital, Houston, Texas, United States|Memorial Hermann Texas Medical Center, Houston, Texas, United States|University of Utah Healthcare, Salt Lake City, Utah, United States|Froedtert Hospital, Milwaukee, Wisconsin, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/67/NCT04355767/ICF_000.pdf",https://ClinicalTrials.gov/show/NCT04355767
266,NCT04817332,STOP-COVID19: Superiority Trial Of Protease Inhibition in COVID-19,STOP-COVID19,Completed,No Results Available,Covid19,Drug: Brensocatib|Drug: Placebo,"Comparison of participant clinical status between treatment arms|Time to an improvement of one category from admission using 7-point ordinal scale.|Participant clinical status on 7-point ordinal scale|Mean change in the 7-point ordinal scale|Time to discharge or to a National Early Warning Score (NEWS) of â‰¤ 2 and maintained for 24 hours, whichever occurs first.|Change from baseline of National Early Warning Score (NEWS)|Number of oxygen therapy free days|Incidence and duration of new oxygen therapy use during the trial|Number of mechanical ventilator free days|Incidence and duration of new mechanical ventilation use during the trial.|Duration of hospitalisation (days).|28-day mortality|Cumulative incidence of Serious Adverse Events (SAEs)|Discontinuation or temporary suspension of treatment|Changes in white cell count (x10^9/L) over time (hospitalised participants only)|Changes in haemoglobin (g/L) over time (hospitalised participants only)|Changes in platelets (x10^9/L) over time (hospitalised participants only)|Changes in creatinine (umol/L) over time (hospitalised participants only)|Changes in total bilirubin (umol/L) over time (hospitalised participants only)|Changes in Alanine Aminotransferase (U/L) over time (hospitalised participants only)|Changes in Aspartate Aminotransferase U/L over time (hospitalised participants only)|Adverse events of special interest- hyperkeratosis, infections and dental complications",University of Dundee|NHS Tayside|Insmed Incorporated,All,"16 Years and older Â  (Child, Adult, Older Adult)",Phase 3,400,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",01.01.20|2020-001643-13|281986,28-Feb-21,5-Jun-20,268,28-Feb-21,26-Mar-21,,26-Mar-21,"NHS Grampian, Aberdeen, United Kingdom|Royal United Hospitals Bath NHS Foundation Trust, Bath, United Kingdom|University Hospitals Birmingham NHS Foundation Trust, Birmingham, United Kingdom|Cardiff & Vale University Health Board, Cardiff, United Kingdom|NHS Tayside, Dundee, United Kingdom|NHS Fife, Dunfermline, United Kingdom|Frimley Health NHS Foundation Trust, Frimley, United Kingdom|Princess Alexandra Hospital NHS Trust, Harlow, United Kingdom|NHS Highland, Inverness, United Kingdom|NHS Forth Valley, Larbert, United Kingdom|University Hospitals of Leicester NHS Trust, Leicester, United Kingdom|Liverpool University Hospitals NHS Foundation Trust, Liverpool, United Kingdom|Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, United Kingdom|University Hospitals North Midlands NHS Trust, Stoke-on-Trent, United Kingdom|NHS Lanarkshire, Wishaw, United Kingdom",,https://ClinicalTrials.gov/show/NCT04817332
267,NCT04553055,Antibiotic Misuse During COVID-19 Pandemic,,Completed,No Results Available,Covid19,Other: online questionnaires,antibiotic misuse,Beni-Suef University,All,"20 Years and older Â  (Adult, Older Adult)",,413,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional,AA86,15-Sep-20,20-Jul-20,57,15-Sep-20,17-Sep-20,,10-Dec-20,"BeniSuefU, Cairo, BeniSuef, Egypt",,https://ClinicalTrials.gov/show/NCT04553055
268,NCT04547660,Convalescent Plasma for Severe COVID-19 Patients,PLACOVID,Completed,No Results Available,Covid19,Biological: Convalescent Plasma|Other: Best Supportive Care,Clinical improvement|6-point ordinal scale proportion at 14 days|6-point ordinal scale proportion at 28 days|Overall mortality|Days alive and free of respiratory support (DAFOR28)|Mechanical ventilation|PaO2/FiO2 ratio|Hospital stay|Lactate Dehydrogenase|Troponin I|C Reactive Protein|D-Dimers|Fibrinogen|Prothrombin Time (PT)|Activated Partial Thromboplastin Time (APTT)|Tumor Necrosis Factor Alfa (TNF-Alfa)|Interleukin-6 (IL-6)|RT-PCR|Sequential Organ Failure Assessment (SOFA) score|National Early Warning Score 2 (NEWS) 2|Safety and Adverse Events,"Hospital de Clinicas de Porto Alegre|FundaÃ§Ã£o de Amparo Ã  Pesquisa do Estado do Rio Grande do Sul, Brazil|Instituto Cultural Floresta",All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,160,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2020-0158,7-Jan-21,16-Jul-20,175,7-Jan-21,14-Sep-20,,9-Feb-21,"Hospital de ClÃ­nicas de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil",,https://ClinicalTrials.gov/show/NCT04547660
269,NCT04582331,Improving Real-time COVID-19 Monitoring Through Smartphone Voice Analysis,,Completed,No Results Available,Covid19,Other: Smartphone-based voice and self-reported symptom collection,Vocal biomarker performance in COVID-19 positive vs. healthy controls|Vocal biomarker vs. symptom burden correlation in COVID-19 positive|Vocal biomarker performance in COVID-19 positive vs. COVID-19 negative symptomatic,Sonde Health,All,"12 Years and older Â  (Child, Adult, Older Adult)",,500,Industry,Observational,Observational Model: Case-Control|Time Perspective: Prospective,SH2020.COV01,12-May-21,10-Sep-20,244,12-May-21,9-Oct-20,,14-May-21,"UC San Diego Medical Center, San Diego, California, United States|Brigham & Woman's Hospital, Boston, Massachusetts, United States|Montefiore Medical Center, New York, New York, United States|Deenanath Mangeshkar Hospital & Research Centre, Pune, India",,https://ClinicalTrials.gov/show/NCT04582331
270,NCT04386564,Kidney Injury Severity and COVID-19,,Completed,No Results Available,COVID-19|Kidney Injury,Diagnostic Test: mRNA in urine test,The effect of COVID-19 severity on the severity of renal failure|The expression of viral RNA in the urine with the severity of renal failure|The severity of microalbuminuria in patients with COVID-19 of different conditions and renal failure|Assessment of the severity of renal impairment in patients who died from COVID-19|Estimation of the duration of urinary viral RNA isolation in patients undergoing COVID-19|Expression of ACE-2 receptors in the kidneys of patients with renal failure who died from COVID-19,I.M. Sechenov First Moscow State Medical University,All,"18 Years and older Â  (Adult, Older Adult)",,340,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,Sechenov-COVID19_AKI,1-Sep-20,15-May-20,109,1-Aug-20,13-May-20,,9-Feb-21,"Sechenov University., Moscow, Russian Federation",,https://ClinicalTrials.gov/show/NCT04386564
271,NCT04483830,Suloexide in the Treatment of Early Stages of COVID-19,SulES-COVID,Completed,No Results Available,Covid19,Drug: Sulodexide|Drug: Placebo,hospital care|days of hospital care|days of need suplemental oxigen|serum level of d-dimmer|serum level of creatinine|thromboembolic event|need for mechanical ventilation,Clinedem|Alfasigma S.p.A.,All,"40 Years to 80 Years Â  (Adult, Older Adult)",Phase 2|Phase 3,243,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,Clidm/Vas/2020-05-01,7-Sep-20,5-Jun-20,94,6-Aug-20,23-Jul-20,,9-Sep-20,"Clinedem, San Luis Rio Colorado, Sonora, Mexico",,https://ClinicalTrials.gov/show/NCT04483830
272,NCT04840966,A Simplified Test to Assess Flavor in COVID-19 Patients,,Completed,No Results Available,Covid19,Diagnostic Test: Flavor test|Other: Self-assesment questionnaire,Flavor perception|Flavor perception intensity,Federico II University,All,"18 Years and older Â  (Adult, Older Adult)",,111,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,PM0001/2020,15-Jan-21,5-May-20,255,15-Jan-21,12-Apr-21,,15-Apr-21,"Dipartimento di Medicina Clinica e Chirurgia, Napoli, Italy",,https://ClinicalTrials.gov/show/NCT04840966
273,NCT04650035,The Impact of COVID-19 on Surgical Practice in Jordan During the Second Outbreak,,Completed,No Results Available,Covid19,,Number of surgical operations performed whether elective or emergency,Yarmouk University,All,"Child, Adult, Older Adult",,60,Other,Observational,Observational Model: Other|Time Perspective: Retrospective,The Impact of COVID-19 Jordan,10-Nov-20,1-Nov-20,9,4-Nov-20,2-Dec-20,,3-Dec-20,"Yarmouk University, Irbid, Jordan",,https://ClinicalTrials.gov/show/NCT04650035
